Timestamp,AccX,AccY,AccZ,MagX,MagY,MagZ,GyrX,GyrY,GyrZ,LinAccX,LinAccY,LinAccZ
1698280199837,0.9576807,0.4141969,9.809045,0.9315685,0.4736531,9.750806,0.002443461,-0.002443461,-0.0012217305,0.007182605,-0.023942016,-0.009576807
1698280199848,0.90979666,0.37349546,9.7803135,0.93364316,0.47519574,9.750532,NaN,NaN,NaN,0.021547815,0.009576807,0.05746084
1698280199847,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002443461,-0.0012217305,NaN,NaN,NaN
1698280199857,0.9792285,0.3854665,9.739613,NaN,NaN,NaN,NaN,NaN,NaN,-0.023942016,-0.02873042,0.02873042
1698280199858,NaN,NaN,NaN,0.9346801,0.4753082,9.750428,0.0012217305,0.002443461,0.0,NaN,NaN,NaN
1698280199868,0.91697925,0.49320555,9.763555,0.93504095,0.47662774,9.750329,NaN,NaN,NaN,0.04309563,-0.016759412,-0.009576807
1698280199867,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0012217305,0.0,NaN,NaN,NaN
1698280199878,0.9959879,0.36631286,9.770737,0.93564904,0.4754798,9.750327,NaN,NaN,NaN,NaN,NaN,NaN
1698280199877,NaN,NaN,NaN,NaN,NaN,NaN,0.0012217305,0.0012217305,0.0,-0.021547815,0.09816227,0.011971008
1698280199887,0.91937345,0.39025488,9.775525,NaN,NaN,NaN,0.0,0.0012217305,-0.0012217305,NaN,NaN,NaN
1698280199888,NaN,NaN,NaN,0.93613255,0.47555798,9.750277,NaN,NaN,NaN,0.05746084,-0.04309563,0.019153614
1698280199897,0.92176765,0.3854665,9.775525,0.93663305,0.47568265,9.750222,NaN,NaN,NaN,-0.023942016,-0.011971008,0.02633622
1698280199898,NaN,NaN,NaN,NaN,NaN,NaN,0.0,-0.0036651916,0.0,NaN,NaN,NaN
1698280199908,0.90740246,0.39983168,9.713276,0.9382355,0.47701988,9.750003,0.002443461,-0.0061086523,0.0,NaN,NaN,NaN
1698280199907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.021547815,-0.016759412,0.02633622
1698280199917,0.94092125,0.38067806,9.821015,NaN,NaN,NaN,0.0036651916,-0.0061086523,0.0,-0.035913024,-0.0023942017,-0.033518825
1698280199918,NaN,NaN,NaN,0.9396005,0.4773801,9.749854,NaN,NaN,NaN,NaN,NaN,NaN
1698280199928,0.9768343,0.35913026,9.775525,0.94139344,0.4774146,9.74968,0.002443461,-0.0036651916,-0.0012217305,NaN,NaN,NaN
1698280199927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0047884034,-0.016759412,0.06943185
1698280199937,0.92176765,0.36870706,9.809045,NaN,NaN,NaN,-0.0012217305,0.002443461,-0.0012217305,0.04070143,-0.038307227,0.023942016
